manufacturer_id,manufacturer_name
337,footprintdirect.co.uk
338,Tobar
339,Hot Wheels
340,AMT
341,ixo
342,Forces Of Valor
343,Oxford Diecast
344,Universal Hobbies
345,AUTOart
346,Minichamps
347,TRI-ANG
348,universal hobby
349,Morris & Co
350,Bburago
351,Hennessey
352,SMER
353,American Muscle - ERTL Collectibles
354,Ford
355,Greenlight
356,Maisto
357,Siku
358,Vktech
359,New Ray
360,Hasegawa
361,Unbekannt
362,Coca-Cola
363,Oxford
364,Britains Big Farm
365,Chevrolet
366,Riley
367,Aston Martin
368,Tamiya
369,TAYO
370,Classix
371,Set
372,Teamsterz
373,Alpine
374,AOSHIMA
375,Collectable Diecast
376,Grids
377,Audi
378,Captain Scarlet
379,M & D International
380,Brio
381,Sonic
382,Kyosho
383,Airfix
384,Miniart
385,Aprilia
386,Thunderbird
387,Fast and Furious
388,Lambretta
389,cararama
390,Aivtalk
391,Welly
392,Opel
393,Honda
394,Revell-Monogram
395,joe bar
396,Sieper GmbH
397,Supreme Models Online
398,Autosculpt Miniatures
399,Lamborghini
400,BAO CORE
401,Matchbox 1-75
402,Fujimi
403,Transformers
404,Dr Who
405,Diamond Select
406,Games Workshop
407,Nickelodeon
408,Kaiyodo
409,POP! Vinyl
410,Astro Boy
411,Harley Quinn
412,Teenage Mutant Ninja Turtles
413,Turtles
414,Wing
415,Thinkway Toys
416,Thinkway
417,NECA
418,DC Super Friends
419,Toy Story
420,Aliens and Predators
421,"Slugterra Toys, Games & Dart Mini Action Figures"
422,Star images
423,Final Fantasy
424,McFarlane
425,Hot Toys
426,Good Smile Company
427,PlayMates
428,First 4 Figure
429,Bakugan
430,Thundercats
431,Eye On Asia
432,Ben 10
433,Ickee Stickeez
434,Sun toys
435,SEGA
436,DC Universe Classics
437,Medicos
438,Fabrikations
439,Star Trek
440,Freeing
441,Art Asylum
442,Moshi: Rox Tin
443,Super Wings
444,MISSING
445,Toy Zany
446,GET RETRO
447,The Walking Dead
448,Plastoy
449,Vivid
450,Green Lantern
451,Spider-Man
452,Star Cutouts Ltd
453,Trade Mark Collections
454,Octonauts
455,Wacky Wobbler
456,Sideshow Collectibles
457,The Hobbit
458,Living Dead Dolls
459,Bullyland
460,Iron Man 3- Marvel
461,Harry Potter
462,Transformers Prime Beast Hunters
463,Master Replicas
464,Kotobukiya
